PROCESSED,BASE_PATH,REDIRECT,REDIRECT_TYPE,410 (GONE),404 (NOT FOUND),LOCALE,DOCUMENT_TYPE,CONTENT_ID
,/defer-self-employed-national-insurance,/defer-national-insurance,exact,,,,placeholder,d33a1675-d2c4-4140-9ed5-4258ce469979
,/delivery-and-innovation-division,/business-finance-support-finder,prefix,,,en,business_support,13e34190-eff7-4b9f-8d51-97c247a85823
,/denatured-alcohol-production-distribution,/guidance/denatured-alcohol-producing-stocking-distributing-selling-and-using,exact,,,en,licence,854abbda-8e3b-4a30-aaae-1dc5db9c2b7d
,/department-enterprise-trade-investment-publications,/business-finance-support-finder,prefix,,,en,business_support,98822b4b-943b-40b0-84ca-fc3c4048fdaf
,/develop-a-business-omagh,/business-finance-support-finder,prefix,,,en,business_support,a0cf87b8-d4d5-4322-a0ea-d2974ae76ff5
,/devolution-uk,,,,404,en,answer,40cbe88f-509a-472d-b069-67b707e4b302
,/digital-marketplace-sellers,/tendering-for-public-sector-contracts,prefix,,,en,placeholder,47b4d1c5-4294-4585-a7cd-07ef59a54cce
,/digital-services-store,/digital-marketplace,exact,,,,placeholder,2f1d00d6-dd77-4113-be71-f22b672f0137
,/digital-tourism-business-digital-tourism-comm,,prefix,410,,en,business_support,956a99d3-ed45-4f19-9fc5-1cfac45a7178
,/digital-tourism-programme-innovative-pilots,,prefix,410,,en,business_support,3c51ef71-664e-46ca-87b7-e5b7d535b3f3
,/disability-confident,/government/collections/disability-confident-campaign,exact,,,en,campaign,115b7e43-2284-4f72-a7f9-c649da575cf0
,/disability-living-allowance-dla-rates,/dla-disability-living-allowance-benefit/what-youll-get,prefix,,,en,answer,96b2c446-129f-4cf0-baaa-59efe972d8a4
,/dismissing-staff,,,,404,en,guide,732d08d3-5f6b-4dcb-9492-377b8fffd0b2
,/distillers-licence-plant-approval,/guidance/spirits-duty,prefix,,,en,licence,f9db202f-424f-4a5b-ac1f-05a6f710f4cf
,/diversity-works-for-london,,prefix,410,,en,business_support,13259d43-824e-42b4-b482-54ae7dca62c7
